"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "JavaScript", "YAML", "JSON", "Markdown", "XML", "SCSS", "Docker", "comment", "blank", "total"
"/Users/neo/Desktop/tabsa/tab-sa/public/Connect.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"/Users/neo/Desktop/tabsa/tab-sa/public/Landing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/Users/neo/Desktop/tabsa/tab-sa/public/Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/Users/neo/Desktop/tabsa/tab-sa/public/about/fcrlogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/Users/neo/Desktop/tabsa/tab-sa/public/about/iolanilogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 1, 286
"/Users/neo/Desktop/tabsa/tab-sa/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/neo/Desktop/tabsa/tab-sa/styles/globals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 12, 24, 134
"/Users/neo/Desktop/tabsa/tab-sa/tailwind.config.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 6, 1, 56
"/Users/neo/Desktop/tabsa/tab-sa/tests-examples/demo-todo-app.spec.ts", "TypeScript", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 39, 85, 438
"/Users/neo/Desktop/tabsa/tab-sa/tests/exists.spec.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"/Users/neo/Desktop/tabsa/tab-sa/tests/paths.spec.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"/Users/neo/Desktop/tabsa/tab-sa/tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/neo/Desktop/tabsa/tab-sa/waiting/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"/Users/neo/Desktop/tabsa/tab-sa/waiting/projects.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/neo/Desktop/tabsa/tab-sa/waiting/resources.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 24, 1651, 423, 74, 34, 55, 14, 391, 98, 7, 269, 286, 3326
